entity_type,entity_id,source_numeric_id,name_en,name_ko,ko_status,extra_1,extra_2,extra_3,extra_4,extra_5,extra_6,source_file
pokemon,bulbasaur,1,Bulbasaur,이상해씨,official,Grass,풀,Poison,독,,,data/reference/pokeapi_pokemon_full_ko.csv
pokemon,ivysaur,2,Ivysaur,이상해풀,official,Grass,풀,Poison,독,,,data/reference/pokeapi_pokemon_full_ko.csv
pokemon,venusaur,3,Venusaur,이상해꽃,official,Grass,풀,Poison,독,,,data/reference/pokeapi_pokemon_full_ko.csv
pokemon,charmander,4,Charmander,파이리,official,Fire,불꽃,,,,,data/reference/pokeapi_pokemon_full_ko.csv
pokemon,charmeleon,5,Charmeleon,리자드,official,Fire,불꽃,,,,,data/reference/pokeapi_pokemon_full_ko.csv
pokemon,charizard,6,Charizard,리자몽,official,Fire,불꽃,Flying,비행,,,data/reference/pokeapi_pokemon_full_ko.csv
pokemon,squirtle,7,Squirtle,꼬부기,official,Water,물,,,,,data/reference/pokeapi_pokemon_full_ko.csv
pokemon,wartortle,8,Wartortle,어니부기,official,Water,물,,,,,data/reference/pokeapi_pokemon_full_ko.csv
pokemon,blastoise,9,Blastoise,거북왕,official,Water,물,,,,,data/reference/pokeapi_pokemon_full_ko.csv
pokemon,caterpie,10,Caterpie,캐터피,official,Bug,벌레,,,,,data/reference/pokeapi_pokemon_full_ko.csv
pokemon,metapod,11,Metapod,단데기,official,Bug,벌레,,,,,data/reference/pokeapi_pokemon_full_ko.csv
pokemon,butterfree,12,Butterfree,버터플,official,Bug,벌레,Flying,비행,,,data/reference/pokeapi_pokemon_full_ko.csv
pokemon,weedle,13,Weedle,뿔충이,official,Bug,벌레,Poison,독,,,data/reference/pokeapi_pokemon_full_ko.csv
pokemon,kakuna,14,Kakuna,딱충이,official,Bug,벌레,Poison,독,,,data/reference/pokeapi_pokemon_full_ko.csv
pokemon,beedrill,15,Beedrill,독침붕,official,Bug,벌레,Poison,독,,,data/reference/pokeapi_pokemon_full_ko.csv
pokemon,pidgey,16,Pidgey,구구,official,Normal,노말,Flying,비행,,,data/reference/pokeapi_pokemon_full_ko.csv
pokemon,pidgeotto,17,Pidgeotto,피죤,official,Normal,노말,Flying,비행,,,data/reference/pokeapi_pokemon_full_ko.csv
pokemon,pidgeot,18,Pidgeot,피죤투,official,Normal,노말,Flying,비행,,,data/reference/pokeapi_pokemon_full_ko.csv
pokemon,rattata,19,Rattata,꼬렛,official,Normal,노말,,,,,data/reference/pokeapi_pokemon_full_ko.csv
pokemon,raticate,20,Raticate,레트라,official,Normal,노말,,,,,data/reference/pokeapi_pokemon_full_ko.csv
pokemon,spearow,21,Spearow,깨비참,official,Normal,노말,Flying,비행,,,data/reference/pokeapi_pokemon_full_ko.csv
pokemon,fearow,22,Fearow,깨비드릴조,official,Normal,노말,Flying,비행,,,data/reference/pokeapi_pokemon_full_ko.csv
pokemon,ekans,23,Ekans,아보,official,Poison,독,,,,,data/reference/pokeapi_pokemon_full_ko.csv
pokemon,arbok,24,Arbok,아보크,official,Poison,독,,,,,data/reference/pokeapi_pokemon_full_ko.csv
pokemon,pikachu,25,Pikachu,피카츄,official,Electric,전기,,,,,data/reference/pokeapi_pokemon_full_ko.csv
pokemon,raichu,26,Raichu,라이츄,official,Electric,전기,,,,,data/reference/pokeapi_pokemon_full_ko.csv
pokemon,sandshrew,27,Sandshrew,모래두지,official,Ground,땅,,,,,data/reference/pokeapi_pokemon_full_ko.csv
pokemon,sandslash,28,Sandslash,고지,official,Ground,땅,,,,,data/reference/pokeapi_pokemon_full_ko.csv
pokemon,nidoran-f,29,Nidoran♀,니드런♀,official,Poison,독,,,,,data/reference/pokeapi_pokemon_full_ko.csv
pokemon,nidorina,30,Nidorina,니드리나,official,Poison,독,,,,,data/reference/pokeapi_pokemon_full_ko.csv
pokemon,nidoqueen,31,Nidoqueen,니드퀸,official,Poison,독,Ground,땅,,,data/reference/pokeapi_pokemon_full_ko.csv
pokemon,nidoran-m,32,Nidoran♂,니드런♂,official,Poison,독,,,,,data/reference/pokeapi_pokemon_full_ko.csv
