pokemon_id,pokemon_name_en,pokemon_name_ko,pokemon_ko_status,move_id,move_name_en,move_name_ko,move_ko_status,move_type,move_type_ko,category,category_ko,source,confidence
venusaur,Venusaur,이상해꽃,official_or_opgg_ko,acid-spray,Acid Spray,애시드봄,official,poison,독,special,특수,opgg_rsc_pokemon_moves_array,rsc_verified
venusaur,Venusaur,이상해꽃,official_or_opgg_ko,amnesia,Amnesia,망각술,official,psychic,에스퍼,status,변화,opgg_rsc_pokemon_moves_array,rsc_verified
venusaur,Venusaur,이상해꽃,official_or_opgg_ko,body-slam,Body Slam,누르기,official,normal,노말,physical,물리,opgg_rsc_pokemon_moves_array,rsc_verified
venusaur,Venusaur,이상해꽃,official_or_opgg_ko,bulldoze,Bulldoze,땅고르기,official,ground,땅,physical,물리,opgg_rsc_pokemon_moves_array,rsc_verified
venusaur,Venusaur,이상해꽃,official_or_opgg_ko,bullet-seed,Bullet Seed,기관총,official,grass,풀,physical,물리,opgg_rsc_pokemon_moves_array,rsc_verified
venusaur,Venusaur,이상해꽃,official_or_opgg_ko,charm,Charm,애교부리기,official,fairy,페어리,status,변화,opgg_rsc_pokemon_moves_array,rsc_verified
venusaur,Venusaur,이상해꽃,official_or_opgg_ko,curse,Curse,저주,official,ghost,고스트,status,변화,opgg_rsc_pokemon_moves_array,rsc_verified
venusaur,Venusaur,이상해꽃,official_or_opgg_ko,double-edge,Double-Edge,이판사판태클,official,normal,노말,physical,물리,opgg_rsc_pokemon_moves_array,rsc_verified
venusaur,Venusaur,이상해꽃,official_or_opgg_ko,earth-power,Earth Power,대지의힘,official,ground,땅,special,특수,opgg_rsc_pokemon_moves_array,rsc_verified
venusaur,Venusaur,이상해꽃,official_or_opgg_ko,earthquake,Earthquake,지진,official,ground,땅,physical,물리,opgg_rsc_pokemon_moves_array,rsc_verified
venusaur,Venusaur,이상해꽃,official_or_opgg_ko,endure,Endure,버티기,official,normal,노말,status,변화,opgg_rsc_pokemon_moves_array,rsc_verified
venusaur,Venusaur,이상해꽃,official_or_opgg_ko,energy-ball,Energy Ball,에너지볼,official,grass,풀,special,특수,opgg_rsc_pokemon_moves_array,rsc_verified
venusaur,Venusaur,이상해꽃,official_or_opgg_ko,facade,Facade,객기,official,normal,노말,physical,물리,opgg_rsc_pokemon_moves_array,rsc_verified
venusaur,Venusaur,이상해꽃,official_or_opgg_ko,frenzy-plant,Frenzy Plant,하드플랜트,official,grass,풀,special,특수,opgg_rsc_pokemon_moves_array,rsc_verified
venusaur,Venusaur,이상해꽃,official_or_opgg_ko,giga-drain,Giga Drain,기가드레인,official,grass,풀,special,특수,opgg_rsc_pokemon_moves_array,rsc_verified
venusaur,Venusaur,이상해꽃,official_or_opgg_ko,giga-impact,Giga Impact,기가임팩트,official,normal,노말,physical,물리,opgg_rsc_pokemon_moves_array,rsc_verified
venusaur,Venusaur,이상해꽃,official_or_opgg_ko,grass-knot,Grass Knot,풀묶기,official,grass,풀,special,특수,opgg_rsc_pokemon_moves_array,rsc_verified
venusaur,Venusaur,이상해꽃,official_or_opgg_ko,grassy-glide,Grassy Glide,그래스슬라이더,official,grass,풀,physical,물리,opgg_rsc_pokemon_moves_array,rsc_verified
venusaur,Venusaur,이상해꽃,official_or_opgg_ko,grassy-terrain,Grassy Terrain,그래스필드,official,grass,풀,status,변화,opgg_rsc_pokemon_moves_array,rsc_verified
venusaur,Venusaur,이상해꽃,official_or_opgg_ko,growth,Growth,성장,official,normal,노말,status,변화,opgg_rsc_pokemon_moves_array,rsc_verified
venusaur,Venusaur,이상해꽃,official_or_opgg_ko,helping-hand,Helping Hand,도우미,official,normal,노말,status,변화,opgg_rsc_pokemon_moves_array,rsc_verified
venusaur,Venusaur,이상해꽃,official_or_opgg_ko,hyper-beam,Hyper Beam,파괴광선,official,normal,노말,special,특수,opgg_rsc_pokemon_moves_array,rsc_verified
venusaur,Venusaur,이상해꽃,official_or_opgg_ko,ingrain,Ingrain,뿌리박기,official,grass,풀,status,변화,opgg_rsc_pokemon_moves_array,rsc_verified
venusaur,Venusaur,이상해꽃,official_or_opgg_ko,knock-off,Knock Off,탁쳐서떨구기,official,dark,악,physical,물리,opgg_rsc_pokemon_moves_array,rsc_verified
venusaur,Venusaur,이상해꽃,official_or_opgg_ko,leaf-storm,Leaf Storm,리프스톰,official,grass,풀,special,특수,opgg_rsc_pokemon_moves_array,rsc_verified
venusaur,Venusaur,이상해꽃,official_or_opgg_ko,leech-seed,Leech Seed,씨뿌리기,official,grass,풀,status,변화,opgg_rsc_pokemon_moves_array,rsc_verified
venusaur,Venusaur,이상해꽃,official_or_opgg_ko,light-screen,Light Screen,빛의장막,official,psychic,에스퍼,status,변화,opgg_rsc_pokemon_moves_array,rsc_verified
